Start,Finish,Steps
06-Mar-2016 00:00,07-Mar-2016 00:00,392.0
07-Mar-2016 00:00,08-Mar-2016 00:00,8046.0
08-Mar-2016 00:00,09-Mar-2016 00:00,1820.0
09-Mar-2016 00:00,10-Mar-2016 00:00,5483.0
10-Mar-2016 00:00,11-Mar-2016 00:00,4795.0
11-Mar-2016 00:00,12-Mar-2016 00:00,8228.0
12-Mar-2016 00:00,13-Mar-2016 00:00,7293.0
13-Mar-2016 00:00,14-Mar-2016 00:00,22838.0
14-Mar-2016 00:00,15-Mar-2016 00:00,13082.0
15-Mar-2016 00:00,16-Mar-2016 00:00,6568.48152270613
16-Mar-2016 00:00,17-Mar-2016 00:00,26664.3285837485
17-Mar-2016 00:00,18-Mar-2016 00:00,16998.1898935454
18-Mar-2016 00:00,19-Mar-2016 00:00,6756.0
19-Mar-2016 00:00,20-Mar-2016 00:00,9482.0
20-Mar-2016 00:00,21-Mar-2016 00:00,13210.0
21-Mar-2016 00:00,22-Mar-2016 00:00,27442.0
22-Mar-2016 00:00,23-Mar-2016 00:00,5136.0
23-Mar-2016 00:00,24-Mar-2016 00:00,5929.0
24-Mar-2016 00:00,25-Mar-2016 00:00,4934.0
25-Mar-2016 00:00,26-Mar-2016 00:00,4638.0
